source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index,ruwe,teff_gspphot,logg_gspphot,lum_flame,mass_flame,radius_flame
2836968977254848384,343.6297823843829,23.518798418492548,30.044526197690544,1998.2593,10.430257,532564792,1.1380475,3720.391,4.3699,0.092649676,0.6236258,0.7324371
2854535874531776000,357.4735438100955,27.36077108195092,40.38377238196252,1762.1616,12.77098,1756318827,1.3057743,3035.0698,4.2794,0.010164835,,0.36494508
2874490361308684800,358.84434311828164,32.300394929453965,31.783807938652902,1580.8142,12.728997,955005069,1.1522084,3178.314,4.2895,0.014274498,,0.39440805
2879203933297161088,356.45816260358976,36.2552613406392,50.39620912643605,3184.5334,9.305748,1235899064,1.006571,4050.6604,4.6823,0.084877156,0.6120722,0.5913288
2884162387142135936,90.80142535543328,-37.37899871345037,47.278635972448086,2834.915,13.689807,1486149357,1.2765514,3037.947,5.0396,0.0038512356,,0.22402294
2886745964589809664,92.66649171728702,-33.65140908278618,27.21128438557667,1419.7924,14.882886,119661114,1.0960841,3079.4856,5.027,0.0034526538,,0.20560004
2893677457691363584,98.57680096121436,-31.874645010375534,48.06687667537103,3129.7004,11.871599,610443349,1.0961189,3207.4722,4.238,0.0129182525,,0.36802408
2935888980399935872,106.48188867995286,-16.066501621880303,25.21799105206649,891.0811,15.013318,1325830439,1.0493997,3076.591,5.056,0.0036890595,,0.21379673
2971349810934352768,82.76421121469653,-17.408025348424403,26.17550335863051,1744.9612,11.903891,486702182,1.162543,3367.6028,3.9485,0.03927152,,0.5820869
2972622770521857664,73.90960941536885,-23.2412981603144,26.079606801468795,1576.3926,7.3467536,99470554,1.0043776,5792.805,4.3362,1.2694122,0.9861281,1.1181668
2973896795259799424,70.97583085263767,-21.77768827293039,25.77722339380156,1033.5012,14.855809,773575059,1.1294262,3101.9895,5.0518,0.0039278655,,0.21708366
2991458504218554496,91.35435751750389,-16.30129331222764,46.3506279381886,2246.5615,13.710179,324025291,1.29437,3052.0188,5.0434,0.0038256058,,0.2212182
3013762509902721792,82.41612126226617,-9.988759152048768,38.77954874247132,2309.122,12.457295,734587732,1.1597763,3294.6924,4.381,0.010654933,,0.31760907
3015684005638599168,84.00082080161667,-7.64749055072158,66.44258656057254,2738.196,11.476436,1376213208,1.2798513,3014.3997,4.2193,0.013134786,,0.4201943
3016426695296202368,83.66321213192494,-7.753213439825592,27.035277276769147,899.3086,15.287607,291227077,0.99331486,3032.693,5.1047,0.0025715353,,0.18361655
3025404791851801728,88.52140971804043,-2.807128773196642,44.74790442005455,1938.0394,14.040115,357028493,1.0855358,2998.8843,5.0535,0.0032976025,,0.2127323
3059182338820698624,108.29665561709618,-5.198202455814469,87.00701510121183,3474.0,10.169039,143435909,1.2095805,3432.3484,4.8057,0.019060282,,0.4447672
3060641356390249728,112.19128658651584,-3.301647006516706,85.2176772433136,1645.8217,10.296098,1649224207,1.088353,3124.4966,4.1537,0.020152159,,0.48419145
3085716990368639744,117.97896837066912,-0.0067691207981886,107.84878596134138,2563.638,11.653467,865551565,1.3989514,3074.9465,5.019,0.0046229255,,0.23957428
3095792502606237312,120.80887434406,5.769674313520889,33.48463768025905,857.1288,14.947867,890445280,1.361211,3009.119,5.1114,0.0023846955,,0.17966354
3100542495921276160,100.05875121900114,-5.875749795160788,84.79689812369861,4989.641,9.310769,1022344567,0.991245,3527.1802,4.6527,0.04015451,,0.53660774
3107717633932485504,107.02824689143524,-3.56925056705235,28.26971690776084,2022.3949,8.628368,1704491070,0.84858483,5169.409,4.603,0.350475,0.8359728,0.7736479
3145477818158061056,118.8809364775741,8.862441705606342,25.80747842309592,683.4877,5.771353,1049074004,0.9137387,6886.036,4.102,5.459506,1.4454676,1.6416233
3151135664475853824,118.53496125477302,11.716340275345068,28.25804799248653,1120.2174,14.336222,1510966814,1.0770725,3150.244,5.0309,0.004965439,,0.23655525
3177407910705445888,67.78690866447533,-13.515564765720292,53.47853785030081,2779.9106,10.52517,263385245,1.2792518,3250.524,4.1111,0.037286874,,0.61226135
3180473452202805632,73.63358052803427,-11.9136478490686,28.309470908338096,2107.6511,9.146949,1302239885,0.9569458,4629.448,4.566,0.24148509,0.7441982,0.76385605
3181588219554237184,72.00512915271005,-10.934130244822905,37.77531383330534,2673.115,9.04721,1352524480,0.9871644,4386.696,4.6008,0.16511175,0.6931481,0.7034812
3182910554085960320,77.33936293636188,-8.649166935699506,44.38615238381337,1644.947,12.948573,299819189,1.3041568,3143.7083,4.8869,0.007870533,,0.3284013
3218854242032573568,89.25309490746793,0.606861009002451,26.49416907923222,694.2112,15.160509,1381836909,1.1129247,3072.0105,5.0942,0.0028453448,,0.18863969
3223332136283271296,85.69070691293763,2.6925053640991123,30.91476367342304,1446.5564,12.117303,1282488142,1.223608,3171.572,4.1674,0.03143744,,0.5019965
3228407348810503168,74.57005520731845,0.4536638886466193,29.74814433361173,1298.9387,6.945024,1234671380,1.1974399,5417.718,4.1972,1.4604338,0.92443585,1.3717669
3247680138377334912,54.75458219188663,-5.627141153844481,28.889120766259325,1013.55615,5.714155,1603710842,0.9968625,4932.798,3.5496,5.0045834,1.1413605,3.0636396
3256334497479041024,59.36875368575957,-1.1600991567872856,65.42618467484711,2795.4934,7.6725683,406864395,1.057975,4465.0986,4.5853,0.18760224,0.70740694,0.7238189
3264137697140877312,52.98946048314453,-0.2475994079494557,27.391484423680318,1417.3066,13.954864,87019479,1.1169572,3089.2524,4.473,0.006829577,,0.28874782
3266887816239976192,47.26939669015919,0.5192696310314682,30.96650731308668,1171.0624,13.988097,1373488613,1.3870866,3064.0237,4.8957,0.0063105533,,0.275326
3285714066647420032,67.07006231764834,6.00355707423696,42.35482751925962,1204.8087,14.675982,1559779017,1.157659,2982.8445,5.1413,0.0019487252,,0.16535251
3293037741802934784,71.36405379908848,9.64045194559285,33.054154614709034,1840.6663,10.483506,514114161,1.0987397,3608.687,4.223,0.075862676,0.59959,0.7047199
3297691802724350848,62.914412034259264,7.568016016903303,26.78395334159542,701.06287,15.360768,1096336398,1.0542581,3025.8997,5.1108,0.0024712512,,0.18089423
3300578673582192384,64.78397864884434,9.74728395437371,40.25468287258675,1844.5999,12.751605,783109597,1.2452807,3093.2573,4.3739,0.009710606,,0.34307423
3304700330358980608,61.47770996858171,11.966252736644403,26.35128727687144,1356.783,9.632968,568299919,1.1621764,4486.3916,4.5886,0.1881682,0.7065218,0.7180034
3346787986201584896,89.01601210041528,13.922768938376445,36.44736649873669,1213.7997,6.46059,1533266111,1.0963646,5622.913,4.2578,1.4804921,0.93752545,1.2821476
3352081447497931264,100.42870725855788,12.445392442104405,50.33560963053702,2114.641,13.441048,1715216032,1.2225292,3049.2136,5.028,0.0042293784,,0.23303428
3360181515298379648,106.55334051011826,16.184595979714157,25.91809569584765,874.7327,14.890735,91539385,1.1534821,3082.5066,5.0513,0.0038867893,,0.21860227
1428030622526979968,242.26459230624124,52.94415284692017,58.99709854203002,4445.3335,9.4123,1099394777,1.1466008,3696.0579,4.5616,0.06479447,0.5740114,0.6207392
1428427236986209024,246.3558883328168,54.30333866560462,154.35026839246862,9585.693,9.139769,1622068384,1.0494165,3453.4927,4.9103,0.014355302,,0.33469912
1436001566431649408,264.67028798620754,61.23334600938118,30.94549272389045,2462.1174,13.284634,1763606460,1.2069446,3135.1838,4.7736,0.011631318,,0.37373224
1461049369026235904,197.8380339246302,28.54288114068645,53.55045743017163,2223.18,14.097543,1452337353,1.0922544,2993.67,5.1012,0.0020206575,,0.16669567
1532050023151090176,187.86534666453545,39.170305819365424,25.29753459618245,1588.9626,13.369609,539126000,1.0968213,3239.1765,4.4236,0.011664645,,0.34858403
1570296397685102848,193.45047148264555,54.18539367172279,40.77571315475247,1467.7677,14.584504,640754099,1.3378682,2981.6526,5.1029,0.002379457,,0.18280962
1595464798663875328,230.6822308175761,50.67362958067504,32.09363987017687,1917.6598,11.981775,831995933,1.3723071,3206.3857,4.0868,0.027031545,,0.532759
